description,label,predicted_medical_specialty
A 23-year-old white female presents with complaint of allergies.,Allergy / Immunology,Allergy / Immunology
"Acute allergic reaction, etiology uncertain, however, suspicious for Keflex.",Allergy / Immunology,Allergy / Immunology
Mother states he has been wheezing and coughing.,Allergy / Immunology,Allergy / Immunology
"Patient having severe sinusitis about two to three months ago with facial discomfort, nasal congestion, eye pain, and postnasal drip symptoms.",Allergy / Immunology,ENT - Otolaryngology
Functional endoscopic sinus surgery with left anterior ethmoidectomy and left mastoid antrostomy for chronic sinusitis and sinus cephalgia,Allergy / Immunology,ENT - Otolaryngology
"Chronic glossitis, xerostomia, probable environmental inhalant allergies, probable food allergies, and history of asthma.",Allergy / Immunology,Allergy / Immunology
A female for a complete physical and follow up on asthma with allergic rhinitis.,Allergy / Immunology,Allergy / Immunology
"This is a 14-month-old baby boy Caucasian who came in with presumptive diagnosis of Kawasaki with fever for more than 5 days and conjunctivitis, mild arthritis with edema, rash, resolving and with elevated neutrophils and thrombocytosis, elevated CRP and ESR.",Allergy / Immunology,Pediatrics - Neonatal
Autopsy - Homicide - Blunt force cranial trauma,Autopsy,Autopsy
Autopsy of a white female who died of acute combined drug intoxication.,Autopsy,Autopsy
Autopsy - Asphyxia due to ligature strangulation.,Autopsy,Autopsy
Autopsy - Ligature strangulation and craniocerebral injuries.,Autopsy,Autopsy
Autopsy - Homicide - evidence of exsanguination - multiple stab wounds.,Autopsy,Autopsy
"Multiple sharp force injuries, involving chest and abdomen, multiple incised-stab wounds of the neck, and multiple incised or cutting wounds.",Autopsy,Forensic Medicine
Cause of death - Anoxic Encephalopathy,Autopsy,Autopsy
"The patient died of a pulmonary embolism, the underlying cause of which is currently undetermined.",Autopsy,Cardiovascular / Pulmonary
Evaluation for elective surgical weight loss via the gastric bypass as opposed to Lap-Band.,Bariatrics,Bariatrics
Evaluation for elective surgical weight loss via the Lap-Band as opposed to gastric bypass.,Bariatrics,Bariatrics
Evaluation for bariatric surgery.,Bariatrics,Bariatrics
Patient presented to the Bariatric Surgery Service for consideration of laparoscopic Roux-en-Y gastric bypass.,Bariatrics,Bariatrics
